year,host_city,host_country,country_code,country_name,sport,event,athlete_name,medal
2000,Sydney,AUS,CZE,Czech Republic,WaterPolo,WaterPolo team event,Yuki Kovac,Bronze
2008,Beijing,CHN,ITA,Italy,WaterPolo,WaterPolo team event,Elena Lopez,Bronze
2016,Rio,BRA,SVK,Slovakia,Basketball,Basketball team event,Wei Petrov,Bronze
1984,Los Angeles,USA,JPN,Japan,WaterPolo,WaterPolo team event,Liu Rossi,Bronze
1988,Seoul,KOR,CHN,China,Swimming,Swimming event,Marco Okafor,Bronze
2016,Rio,BRA,GBR,Great Britain,Football,Football team event,Elena Kim,Bronze
2004,Athens,GRC,CHN,China,Volleyball,Volleyball team event,Diego Kovac,Gold
2012,London,GBR,CHN,China,Athletics,Athletics event,Nadia Smith,Bronze
1976,Montreal,CAN,JPN,Japan,Volleyball,Volleyball team event,Yuki Park,Silver
1992,Barcelona,ESP,JPN,Japan,Handball,Handball team event,Anna Smith,Bronze
1992,Barcelona,ESP,NOR,Norway,Swimming,Swimming event,Alex Smith,Bronze
1996,Atlanta,USA,USA,United States,Cycling,Cycling event,Diego Novak,Gold
1964,Tokyo,JPN,GBR,Great Britain,Gymnastics,Gymnastics event,Liu Okafor,Bronze
1992,Barcelona,ESP,BRA,Brazil,Judo,Judo event,Nadia Andersson,Gold
2016,Rio,BRA,CRO,Croatia,Handball,Handball team event,Maria Petrov,Bronze
1984,Los Angeles,USA,USA,United States,Rowing,Rowing team event,Maria Park,Gold
1976,Montreal,CAN,GDR,East Germany,Rowing,Rowing team event,John Costa,Silver
1988,Seoul,KOR,USA,United States,Hockey,Hockey team event,Maria Kim,Silver
2012,London,GBR,BRA,Brazil,Handball,Handball team event,Yuki Silva,Gold
1988,Seoul,KOR,GBR,Great Britain,Relays,Relays team event,Alex Ahmed,Gold
2012,London,GBR,JAM,Jamaica,Swimming,Swimming event,Ana Muller,Bronze
2012,London,GBR,GBR,Great Britain,Basketball,Basketball team event,Wei Zhang,Gold
2016,Rio,BRA,USA,United States,Athletics,Athletics event,John Costa,Bronze
2000,Sydney,AUS,NOR,Norway,Shooting,Shooting event,Carlos Lopez,Gold
1972,Munich,FRG,BRA,Brazil,WaterPolo,WaterPolo team event,Maria Petrov,Silver
2000,Sydney,AUS,ITA,Italy,Handball,Handball team event,Ana Okafor,Bronze
1976,Montreal,CAN,URS,Soviet Union,Relays,Relays team event,Diego Costa,Bronze
2016,Rio,BRA,CHN,China,Wrestling,Wrestling event,Pavel Park,Gold
1968,Mexico City,MEX,ESP,Spain,Athletics,Athletics event,Anna Lopez,3rd
2008,Beijing,CHN,ITA,Italy,Weightlifting,Weightlifting event,John Novak,Gold
1972,Munich,FRG,CHN,China,Athletics,Athletics event,Anna Rossi,Gold
2000,Sydney,AUS,BRA,Brazil,Swimming,Swimming event,Marco Novak,Bronze
2004,Athens,GRC,ITA,Italy,Football,Football team event,Sven Okafor,Bronze
1984,Los Angeles,USA,ITA,Italy,Shooting,Shooting event,Maria Okafor,Gold
1988,Seoul,KOR,CUB,Cuba,Hockey,Hockey team event,Nadia Lopez,Bronze
1960,Rome,ITA,YUG,Yugoslavia,Basketball,Basketball team event,Carlos Silva,Bronze
2012,London,GBR,CAN,Canada,Weightlifting,Weightlifting event,Ana Andersson,Bronze
2000,Sydney,AUS,AUS,Australia,Basketball,Basketball team event,Liu Andersson,Bronze
2004,Athens,GRC,KOR,South Korea,Swimming,Swimming event,Carlos Wang,Bronze
1972,Munich,FRG,TCH,Czechoslovakia,WaterPolo,WaterPolo team event,Marco Novak,Bronze
1996,Atlanta,USA,USA,United States,Volleyball,Volleyball team event,Liu Ahmed,Silver
1996,Atlanta,USA,GER,Germany,WaterPolo,WaterPolo team event,Sofia Zhang,Bronze
1984,Los Angeles,USA,USA,United States,Volleyball,Volleyball team event,Elena Smith,Bronze
2012,London,GBR,CHN,China,Wrestling,Wrestling event,Lars Andersson,Gold
2016,Rio,BRA,KOR,South Korea,Diving,Diving event,John Rossi,bronze
1992,Barcelona,ESP,USA,United States,Football,Football team event,Pavel Zhang,Bronze
2000,Sydney,AUS,ITA,Italy,WaterPolo,WaterPolo team event,Pavel Silva,Gold
2012,London,GBR,ESP,Spain,Football,Football team event,Nadia Kovac,Bronze
1984,Los Angeles,USA,NOR,Norway,Fencing,Fencing event,Wei Costa,Bronze
1992,Barcelona,ESP,HUN,Hungary,Volleyball,Volleyball team event,Alex Park,Gold
2008,Beijing,CHN,USA,United States,Handball,Handball team event,Ivan Nielsen,Bronze
2004,Athens,GRC,USA,United States,Football,Football team event,Alex Okafor,Gold
2000,Sydney,AUS,RUS,Russia,Football,Football team event,Sofia Muller,Gold
1960,Rome,ITA,GBR,Great Britain,Handball,Handball team event,Nadia Wang,Silver
2004,Athens,GRC,KEN,Kenya,Shooting,Shooting event,Diego Zhang,Bronze
1960,Rome,ITA,BRA,Brazil,Relays,Relays team event,Anna Kovac,Bronze
2000,Sydney,AUS,ITA,Italy,WaterPolo,WaterPolo team event,Omar Zhang,Gold
1964,Tokyo,JPN,JPN,Japan,Handball,Handball team event,Pavel Okafor,Bronze
1984,Los Angeles,USA,GBR,Great Britain,Handball,Handball team event,Anna Lopez,Bronze
2012,London,GBR,USA,United States,Shooting,Shooting event,Marco Rossi,Gold
2016,Rio,BRA,GBR,Great Britain,Rowing,Rowing team event,Pavel Andersson,Bronze
1980,Moscow,URS,CUB,Cuba,Rowing,Rowing team event,Nadia Kovac,Silver
2008,Beijing,CHN,AUS,Australia,Volleyball,Volleyball team event,Diego Lopez,Bronze
1984,Los Angeles,USA,AUS,Australia,Rowing,Rowing team event,Carlos Andersson,Gold
1968,Mexico City,MEX,KOR,South Korea,Basketball,Basketball team event,Maria Okafor,2nd
1984,Los Angeles,USA,USA,United States,Rowing,Rowing team event,Carlos Tanaka,Silver
1980,Moscow,URS,KEN,Kenya,WaterPolo,WaterPolo team event,Maria Kovac,Silver
2016,Rio,BRA,GBR,Great Britain,Football,Football team event,Liu Ahmed,Bronze
1972,Munich,FRG,CHN,China,Relays,Relays team event,Alex Lopez,Gold
1992,Barcelona,ESP,AUS,Australia,Volleyball,Volleyball team event,Anna Costa,Silver
2000,Sydney,AUS,USA,United States,Judo,Judo event,Wei Ahmed,Gold
2004,Athens,GRC,CAN,Canada,Volleyball,Volleyball team event,Elena Okafor,B
1992,Barcelona,ESP,GBR,Great Britain,Basketball,Basketball team event,Sven Okafor,Bronze
2012,London,GBR,GER,Germany,WaterPolo,WaterPolo team event,Diego Silva,Silver
1964,Tokyo,JPN,AUS,Australia,Boxing,Boxing event,Nadia Novak,Gold
1984,Los Angeles,USA,KOR,South Korea,Athletics,Athletics event,Ana Kim,Silver
2000,Sydney,AUS,GBR,Great Britain,Rowing,Rowing team event,Yuki Costa,Bronze
1980,Moscow,URS,URS,Soviet Union,Handball,Handball team event,Omar Lopez,Bronze
2016,Rio,BRA,GRC,Greece,Athletics,Athletics event,Sofia Kim,Silver
1992,Barcelona,ESP,KOR,South Korea,Relays,Relays team event,Alex Costa,Bronze
2012,London,GBR,BRA,Brazil,Athletics,Athletics event,Carlos Kim,Silver
1960,Rome,ITA,ESP,Spain,Athletics,Athletics event,Diego Tanaka,Silver
2016,Rio,BRA,BRA,Brazil,Wrestling,Wrestling event,Liu Park,Silver
1996,Atlanta,USA,CHN,China,Shooting,Shooting event,Ana Park,Silver
1964,Tokyo,JPN,AUS,Australia,Swimming,Swimming event,Maria Silva,Gold
2008,Beijing,CHN,CHN,China,Basketball,Basketball team event,John Kim,Bronze
2008,Beijing,CHN,GER,Germany,Tennis,Tennis event,Omar Lopez,Bronze
1984,Los Angeles,USA,MEX,Mexico,Cycling,Cycling event,Ana Petrov,Bronze
1968,Mexico City,MEX,KOR,South Korea,Basketball,Basketball team event,Pavel Kovac,Bronze
2000,Sydney,AUS,USA,United States,Shooting,Shooting event,Marco Silva,Silver
1976,Montreal,CAN,USA,United States,Rowing,Rowing team event,Ana Okafor,Gold
1988,Seoul,KOR,CAN,Canada,Athletics,Athletics event,Maria Okafor,Bronze
2004,Athens,GRC,USA,United States,Basketball,Basketball team event,Ivan Rossi,Gold
2004,Athens,GRC,CZE,Czech Republic,Relays,Relays team event,Marco Okafor,Bronze
1976,Montreal,CAN,KEN,Kenya,Gymnastics,Gymnastics event,Marco Ahmed,Gold
1960,Rome,ITA,CHN,China,Volleyball,Volleyball team event,Anna Kovac,Gold
1968,Mexico City,MEX,GBR,Great Britain,Football,Football team event,Sven Lopez,Gold
2012,London,GBR,KEN,Kenya,Athletics,Athletics event,John Ahmed,Gold
2016,Rio,BRA,NED,Netherlands,Volleyball,Volleyball team event,Anna Okafor,Bronze
2000,Sydney,AUS,CHN,China,Rowing,Rowing team event,Sven Zhang,Silver
1960,Rome,ITA,ITA,Italy,Gymnastics,Gymnastics event,Pavel Okafor,Bronze
1996,Atlanta,USA,GER,Germany,WaterPolo,WaterPolo team event,Ivan Ahmed,Bronze
2008,Beijing,CHN,USA,United States,Handball,Handball team event,Carlos Costa,Bronze
1976,Montreal,CAN,USA,United States,WaterPolo,WaterPolo team event,Marco Wang,Gold
1960,Rome,ITA,HUN,Hungary,Hockey,Hockey team event,Wei Petrov,Bronze
2008,Beijing,CHN,USA,United States,Rowing,Rowing team event,Sofia Zhang,Silver
1988,Seoul,KOR,CUB,Cuba,Fencing,Fencing event,Sofia Kim,Gold
1972,Munich,FRG,CHN,China,Volleyball,Volleyball team event,Ivan Kovac,Silver
1960,Rome,ITA,KOR,South Korea,Football,Football team event,Carlos Andersson,Bronze
2008,Beijing,CHN,CHN,China,Swimming,Swimming event,Alex Lopez,Bronze
2012,London,GBR,RUS,Russia,Rowing,Rowing team event,Pavel Silva,Bronze
2016,Rio,BRA,CHN,China,Handball,Handball team event,Lars Zhang,Bronze
1980,Moscow,URS,CUB,Cuba,Rowing,Rowing team event,Ivan Andersson,Silver
2000,Sydney,AUS,CUB,Cuba,Wrestling,Wrestling event,Pavel Zhang,Bronze
2012,London,GBR,GBR,Great Britain,WaterPolo,WaterPolo team event,Ivan Smith,Bronze
2000,Sydney,AUS,CAN,Canada,Rowing,Rowing team event,Carlos Petrov,Bronze
1992,Barcelona,ESP,CHN,China,Football,Football team event,Anna Costa,Silver
2008,Beijing,CHN,GRC,Greece,Wrestling,Wrestling event,John Wang,Silver
1976,Montreal,CAN,AUS,Australia,Rowing,Rowing team event,Sven Costa,Bronze
2012,London,GBR,ITA,Italy,Athletics,Athletics event,Lars Kim,Silver
1976,Montreal,CAN,USA,United States,Rowing,Rowing team event,Liu Nielsen,Bronze
1964,Tokyo,JPN,KEN,Kenya,Athletics,Athletics event,Elena Wang,Gold
2012,London,GBR,AUS,Australia,Cycling,Cycling event,Yuki Novak,Gold
1968,Mexico City,MEX,USA,United States,Hockey,Hockey team event,Wei Zhang,Silver
2008,Beijing,CHN,NOR,Norway,Relays,Relays team event,Ana Park,Bronze
2008,Beijing,CHN,CHN,China,Swimming,Swimming event,Ivan Costa,Gold
2008,Beijing,CHN,JAM,Jamaica,Volleyball,Volleyball team event,Ana Kovac,Gold
2008,Beijing,CHN,FRA,France,Hockey,Hockey team event,Sofia Tanaka,Silver
1988,Seoul,KOR,URS,Soviet Union,Relays,Relays team event,Anna Kovac,Gold
1968,Mexico City,MEX,BRA,Brazil,Relays,Relays team event,Nadia Muller,Bronze
1976,Montreal,CAN,GBR,Great Britain,Football,Football team event,Yuki Wang,Silver
1976,Montreal,CAN,ITA,Italy,Swimming,Swimming event,Liu Kovac,Bronze
1992,Barcelona,ESP,JPN,Japan,Weightlifting,Weightlifting event,Liu Costa,Gold
1996,Atlanta,USA,NED,Netherlands,Relays,Relays team event,Ivan Tanaka,Silver
2004,Athens,GRC,CHN,China,Relays,Relays team event,Wei Wang,Bronze
2016,Rio,BRA,SRB,Serbia,WaterPolo,WaterPolo team event,Anna Lopez,Silver
2004,Athens,GRC,BRA,Brazil,Swimming,Swimming event,Marco Kovac,Gold
1996,Atlanta,USA,GER,Germany,Basketball,Basketball team event,Anna Andersson,Gold
1964,Tokyo,JPN,AUS,Australia,Boxing,Boxing event,Pavel Costa,Gold
2000,Sydney,AUS,USA,United States,Wrestling,Wrestling event,Lars Rossi,Gold
2008,Beijing,CHN,JAM,Jamaica,Basketball,Basketball team event,Maria Nielsen,Silver
2008,Beijing,CHN,SRB,Serbia,Rowing,Rowing team event,Yuki Costa,Bronze
1980,Moscow,URS,YUG,Yugoslavia,Football,Football team event,Kenji Novak,Bronze
1980,Moscow,URS,URS,Soviet Union,Fencing,Fencing event,Maria Tanaka,GOLD 
1984,Los Angeles,USA,JPN,Japan,Football,Football team event,Kenji Lopez,Silver
2004,Athens,GRC,CHN,China,Basketball,Basketball team event,Pavel Rossi,Silver
1976,Montreal,CAN,JPN,Japan,Diving,Diving event,Sven Petrov,Gold
2016,Rio,BRA,CHN,China,Handball,Handball team event,Elena Silva,Bronze
1996,Atlanta,USA,CZE,Czech Republic,Handball,Handball team event,Maria Costa,Bronze
1988,Seoul,KOR,JAM,Jamaica,Athletics,Athletics event,Diego Muller,Gold
2012,London,GBR,AUS,Australia,Volleyball,Volleyball team event,Ana Zhang,Gold
2012,London,GBR,CAN,Canada,Relays,Relays team event,Carlos Andersson,Gold
2012,London,GBR,ESP,Spain,Rowing,Rowing team event,Liu Nielsen,Gold
2016,Rio,BRA,ITA,Italy,Handball,Handball team event,Diego Smith,Silver
2012,London,GBR,FRA,France,Rowing,Rowing team event,Wei Okafor,Gold
1992,Barcelona,ESP,GRC,Greece,Hockey,Hockey team event,Lars Petrov,Bronze
1980,Moscow,URS,URS,Soviet Union,Football,Football team event,Ivan Wang,Gold
1984,Los Angeles,USA,ITA,Italy,Swimming,Swimming event,Carlos Muller,Bronze
2000,Sydney,AUS,RUS,Russia,Football,Football team event,Kenji Novak,Silver
2016,Rio,BRA,CHN,China,Handball,Handball team event,Omar Kim,Bronze
1984,Los Angeles,USA,JPN,Japan,WaterPolo,WaterPolo team event,Alex Petrov,Bronze
1980,Moscow,URS,URS,Soviet Union,Wrestling,Wrestling event,Liu Lopez,Bronze
2008,Beijing,CHN,SRB,Serbia,Basketball,Basketball team event,John Ahmed,Silver
1992,Barcelona,ESP,NOR,Norway,Athletics,Athletics event,Maria Kovac,Gold
1980,Moscow,URS,URS,Soviet Union,Tennis,Tennis event,Marco Silva,Silver
2008,Beijing,CHN,USA,United States,Relays,Relays team event,Yuki Rossi,Gold
2016,Rio,BRA,KEN,Kenya,Swimming,Swimming event,Pavel Muller,Gold
1960,Rome,ITA,CHN,China,Rowing,Rowing team event,Anna Kovac,Silver
2012,London,GBR,HUN,Hungary,Athletics,Athletics event,Liu Zhang,Gold
2004,Athens,GRC,USA,United States,Football,Football team event,Omar Rossi,Bronze
1980,Moscow,URS,GDR,East Germany,Handball,Handball team event,Sofia Wang,Bronze
1976,Montreal,CAN,URS,Soviet Union,Handball,Handball team event,Alex Lopez,Silver
1996,Atlanta,USA,NED,Netherlands,Swimming,Swimming event,Carlos Park,Silver
1976,Montreal,CAN,GDR,East Germany,Hockey,Hockey team event,John Novak,Bronze
2016,Rio,BRA,GER,Germany,Cycling,Cycling event,Marco Andersson,Bronze
1992,Barcelona,ESP,USA,United States,Football,Football team event,Nadia Rossi,Bronze
2016,Rio,BRA,CAN,Canada,Shooting,Shooting event,Alex Tanaka,Silver
2012,London,GBR,RUS,Russia,Tennis,Tennis event,Nadia Rossi,Gold
1996,Atlanta,USA,NED,Netherlands,Volleyball,Volleyball team event,Ana Nielsen,Bronze
2016,Rio,BRA,HUN,Hungary,Wrestling,Wrestling event,Carlos Zhang,gold
1960,Rome,ITA,AUS,Australia,Volleyball,Volleyball team event,John Andersson,Silver
1988,Seoul,KOR,BRA,Brazil,Handball,Handball team event,Diego Lopez,Silver
2000,Sydney,AUS,USA,United States,WaterPolo,WaterPolo team event,Sofia Muller,Gold
2004,Athens,GRC,CHN,China,Volleyball,Volleyball team event,Wei Zhang,Gold
2004,Athens,GRC,HUN,Hungary,Athletics,Athletics event,Alex Costa,Gold
2004,Athens,GRC,BRA,Brazil,Hockey,Hockey team event,Ivan Wang,S
2016,Rio,BRA,BRA,Brazil,Boxing,Boxing event,Elena Novak,Gold
2004,Athens,GRC,AUS,Australia,Relays,Relays team event,Maria Smith,Silver
2004,Athens,GRC,RUS,Russia,Swimming,Swimming event,Diego Smith,Bronze
1996,Atlanta,USA,USA,United States,WaterPolo,WaterPolo team event,Diego Smith,Gold
1972,Munich,FRG,CHN,China,Boxing,Boxing event,Elena Zhang,Silver
1992,Barcelona,ESP,NED,Netherlands,Rowing,Rowing team event,Alex Muller,Bronze
1960,Rome,ITA,USA,United States,Volleyball,Volleyball team event,Carlos Costa,Bronze
1968,Mexico City,MEX,USA,United States,Judo,Judo event,Sven Costa,Gold
1960,Rome,ITA,USA,United States,Athletics,Athletics event,Kenji Novak,Bronze
2008,Beijing,CHN,USA,United States,Handball,Handball team event,Ana Rossi,Silver
1980,Moscow,URS,URS,Soviet Union,WaterPolo,WaterPolo team event,Wei Park,Bronze
2004,Athens,GRC,HUN,Hungary,Basketball,Basketball team event,Sven Lopez,Bronze
2008,Beijing,CHN,BRA,Brazil,Handball,Handball team event,Liu Okafor,Gold
1964,Tokyo,JPN,URS,Soviet Union,Handball,Handball team event,Sofia Park,Gold
2012,London,GBR,MEX,Mexico,Wrestling,Wrestling event,Sofia Okafor,Bronze
2004,Athens,GRC,RUS,Russia,Swimming,Swimming event,Kenji Zhang,Gold
2004,Athens,GRC,ESP,Spain,Swimming,Swimming event,Sofia Andersson,Gold
2004,Athens,GRC,RUS,Russia,Relays,Relays team event,Kenji Kovac,Silver
1964,Tokyo,JPN,FRG,West Germany,Gymnastics,Gymnastics event,Marco Nielsen,Silver
1988,Seoul,KOR,CHN,China,WaterPolo,WaterPolo team event,Omar Park,Silver
1980,Moscow,URS,URS,Soviet Union,Rowing,Rowing team event,Sofia Andersson,Bronze
1996,Atlanta,USA,KEN,Kenya,Boxing,Boxing event,Elena Andersson,Gold
1980,Moscow,URS,URS,Soviet Union,Swimming,Swimming event,Diego Andersson,Silver
2000,Sydney,AUS,CRO,Croatia,Football,Football team event,Kenji Park,Silver
2008,Beijing,CHN,USA,United States,WaterPolo,WaterPolo team event,Yuki Kim,Silver
1988,Seoul,KOR,ITA,Italy,Athletics,Athletics event,Pavel Kovac,Bronze
1964,Tokyo,JPN,URS,Soviet Union,Rowing,Rowing team event,Wei Andersson,Bronze
2012,London,GBR,GER,Germany,Volleyball,Volleyball team event,Liu Muller,Bronze
1960,Rome,ITA,CHN,China,Volleyball,Volleyball team event,Maria Petrov,Gold
1988,Seoul,KOR,USA,United States,Swimming,Swimming event,Diego Ahmed,Silver
2000,Sydney,AUS,AUS,Australia,Athletics,Athletics event,Ana Okafor,Bronze
1984,Los Angeles,USA,ITA,Italy,Handball,Handball team event,Anna Wang,Silver
2004,Athens,GRC,USA,United States,Swimming,Swimming event,Yuki Nielsen,Gold
1976,Montreal,CAN,GDR,East Germany,Boxing,Boxing event,Yuki Costa,Gold
2016,Rio,BRA,GER,Germany,Handball,Handball team event,Ivan Kovac,Gold
1988,Seoul,KOR,KOR,South Korea,Athletics,Athletics event,Sven Nielsen,Silver
1980,Moscow,URS,GDR,East Germany,Wrestling,Wrestling event,Carlos Petrov,Silver
1992,Barcelona,ESP,GER,Germany,Handball,Handball team event,Nadia Okafor,Bronze
1972,Munich,FRG,MEX,Mexico,Weightlifting,Weightlifting event,Lars Kim,Silver
2016,Rio,BRA,FRA,France,Athletics,Athletics event,Marco Tanaka,Silver
2000,Sydney,AUS,USA,United States,Rowing,Rowing team event,Alex Silva,Silver
2012,London,GBR,CUB,Cuba,Diving,Diving event,Omar Ahmed,Gold
2004,Athens,GRC,NED,Netherlands,Volleyball,Volleyball team event,John Smith,Silver
2016,Rio,BRA,JPN,Japan,Swimming,Swimming event,Omar Tanaka,Silver
1988,Seoul,KOR,URS,Soviet Union,Rowing,Rowing team event,Yuki Silva,Silver
1972,Munich,FRG,FRA,France,Weightlifting,Weightlifting event,Ivan Park,Gold
1996,Atlanta,USA,USA,United States,Handball,Handball team event,Wei Kim,Bronze
2000,Sydney,AUS,JPN,Japan,Weightlifting,Weightlifting event,Alex Petrov,Gold
1988,Seoul,KOR,URS,Soviet Union,Rowing,Rowing team event,Carlos Novak,Silver
1964,Tokyo,JPN,GBR,Great Britain,Rowing,Rowing team event,Yuki Tanaka,Gold
2012,London,GBR,CHN,China,Swimming,Swimming event,Anna Okafor,Silver
1988,Seoul,KOR,USA,United States,Rowing,Rowing team event,Anna Zhang,Silver
2004,Athens,GRC,CHN,China,Fencing,Fencing event,Nadia Lopez,Bronze
2008,Beijing,CHN,USA,United States,Relays,Relays team event,Pavel Tanaka,Gold
1964,Tokyo,JPN,HUN,Hungary,Wrestling,Wrestling event,Wei Andersson,Gold
1984,Los Angeles,USA,AUS,Australia,Weightlifting,Weightlifting event,John Park,Gold
1992,Barcelona,ESP,CUB,Cuba,WaterPolo,WaterPolo team event,Yuki Ahmed,Bronze
1988,Seoul,KOR,JAM,Jamaica,Rowing,Rowing team event,Maria Rossi,Gold
2016,Rio,BRA,GER,Germany,Relays,Relays team event,Sofia Kim,Silver
2000,Sydney,AUS,ESP,Spain,Hockey,Hockey team event,Sven Silva,Gold
2004,Athens,GRC,USA,United States,Basketball,Basketball team event,Ivan Petrov,Gold
2000,Sydney,AUS,GER,Germany,Rowing,Rowing team event,Ana Costa,Silver
2016,Rio,BRA,CUB,Cuba,Athletics,Athletics event,Ana Smith,Gold
2008,Beijing,CHN,NED,Netherlands,Athletics,Athletics event,Alex Ahmed,Gold
1996,Atlanta,USA,AUS,Australia,Rowing,Rowing team event,Lars Okafor,Bronze
1984,Los Angeles,USA,ITA,Italy,Boxing,Boxing event,Marco Silva,Silver
2008,Beijing,CHN,RUS,Russia,WaterPolo,WaterPolo team event,Yuki Kovac,Bronze
1972,Munich,FRG,CHN,China,Handball,Handball team event,Sofia Nielsen,Bronze
2016,Rio,BRA,MEX,Mexico,Fencing,Fencing event,John Silva,Bronze
2004,Athens,GRC,KEN,Kenya,Fencing,Fencing event,Nadia Tanaka,Bronze
2012,London,GBR,GBR,Great Britain,Hockey,Hockey team event,Elena Smith,Bronze
1972,Munich,FRG,CAN,Canada,Hockey,Hockey team event,Diego Petrov,Silver
1976,Montreal,CAN,GRC,Greece,Wrestling,Wrestling event,Kenji Rossi,Silver
2000,Sydney,AUS,SVK,Slovakia,Handball,Handball team event,Kenji Zhang,Bronze
2008,Beijing,CHN,AUS,Australia,Shooting,Shooting event,Elena Zhang,Silver
2012,London,GBR,GRC,Greece,Shooting,Shooting event,Yuki Novak,Gold
1968,Mexico City,MEX,CHN,China,Wrestling,Wrestling event,Sven Nielsen,Bronze
1988,Seoul,KOR,URS,Soviet Union,Football,Football team event,Ana Rossi,Silver
1996,Atlanta,USA,KEN,Kenya,Gymnastics,Gymnastics event,Lars Tanaka,Bronze
2016,Rio,BRA,CUB,Cuba,Football,Football team event,Kenji Zhang,Bronze
2000,Sydney,AUS,GER,Germany,Gymnastics,Gymnastics event,Wei Rossi,Bronze
1980,Moscow,URS,GRC,Greece,Gymnastics,Gymnastics event,Lars Wang,Silver
2012,London,GBR,RUS,Russia,Athletics,Athletics event,Sofia Lopez,Silver
2016,Rio,BRA,CUB,Cuba,Rowing,Rowing team event,Ana Wang,Silver
2000,Sydney,AUS,FRA,France,Athletics,Athletics event,Yuki Tanaka,Silver
2016,Rio,BRA,CHN,China,Wrestling,Wrestling event,Ivan Ahmed,Silver
2000,Sydney,AUS,ESP,Spain,Weightlifting,Weightlifting event,Omar Wang,G
2008,Beijing,CHN,NED,Netherlands,Relays,Relays team event,Pavel Tanaka,Bronze
2000,Sydney,AUS,GER,Germany,Gymnastics,Gymnastics event,Carlos Muller,Bronze
1964,Tokyo,JPN,URS,Soviet Union,Tennis,Tennis event,Elena Smith,Silver
2000,Sydney,AUS,RUS,Russia,Hockey,Hockey team event,Sven Lopez,Gold
1980,Moscow,URS,YUG,Yugoslavia,Basketball,Basketball team event,Liu Tanaka,Bronze
1968,Mexico City,MEX,AUS,Australia,Shooting,Shooting event,Elena Park,Gold
1996,Atlanta,USA,NED,Netherlands,Football,Football team event,Sven Zhang,Silver
1996,Atlanta,USA,USA,United States,Rowing,Rowing team event,Ana Park,Gold
1964,Tokyo,JPN,CHN,China,Basketball,Basketball team event,Maria Smith,Gold
2000,Sydney,AUS,ITA,Italy,Shooting,Shooting event,Carlos Nielsen,Bronze
2012,London,GBR,GBR,Great Britain,Hockey,Hockey team event,Wei Kovac,Bronze
2000,Sydney,AUS,RUS,Russia,Athletics,Athletics event,John Petrov,Gold
1980,Moscow,URS,GDR,East Germany,Handball,Handball team event,Kenji Nielsen,Bronze
2000,Sydney,AUS,CAN,Canada,Football,Football team event,Omar Kim,Bronze
2012,London,GBR,RUS,Russia,Athletics,Athletics event,Pavel Lopez,Bronze
1988,Seoul,KOR,CUB,Cuba,Hockey,Hockey team event,Kenji Costa,Silver 
1992,Barcelona,ESP,RUS,Russia,Wrestling,Wrestling event,Kenji Zhang,Gold
2000,Sydney,AUS,USA,United States,Boxing,Boxing event,Nadia Ahmed,Gold
1980,Moscow,URS,URS,Soviet Union,Rowing,Rowing team event,Liu Muller,Gold
2012,London,GBR,FRA,France,Boxing,Boxing event,Omar Okafor,Silver
1984,Los Angeles,USA,NED,Netherlands,Relays,Relays team event,Marco Zhang,Silver
1992,Barcelona,ESP,FRA,France,Boxing,Boxing event,Yuki Nielsen,Bronze
2016,Rio,BRA,JPN,Japan,Swimming,Swimming event,Alex Nielsen,Silver
1980,Moscow,URS,URS,Soviet Union,Gymnastics,Gymnastics event,Yuki Lopez,G
1988,Seoul,KOR,NOR,Norway,WaterPolo,WaterPolo team event,Maria Andersson,Gold
2012,London,GBR,JPN,Japan,Handball,Handball team event,Elena Wang,Bronze
1996,Atlanta,USA,USA,United States,WaterPolo,WaterPolo team event,Sofia Tanaka,Gold
2008,Beijing,CHN,USA,United States,Hockey,Hockey team event,Wei Muller,Gold
1996,Atlanta,USA,BRA,Brazil,Relays,Relays team event,Maria Novak,Silver
1984,Los Angeles,USA,USA,United States,WaterPolo,WaterPolo team event,Carlos Petrov,Silver
1980,Moscow,URS,BRA,Brazil,Weightlifting,Weightlifting event,Carlos Rossi,Silver
2000,Sydney,AUS,CRO,Croatia,Football,Football team event,Ana Rossi,Silver
2016,Rio,BRA,JPN,Japan,Volleyball,Volleyball team event,Kenji Novak,Gold
2008,Beijing,CHN,GBR,Great Britain,Hockey,Hockey team event,Sven Zhang,Bronze
1984,Los Angeles,USA,MEX,Mexico,Wrestling,Wrestling event,Ana Andersson,Gold
2000,Sydney,AUS,ITA,Italy,Swimming,Swimming event,Pavel Silva,Gold
1960,Rome,ITA,USA,United States,Wrestling,Wrestling event,Diego Wang,Bronze
1976,Montreal,CAN,CAN,Canada,Cycling,Cycling event,Liu Tanaka,G
2008,Beijing,CHN,GER,Germany,Wrestling,Wrestling event,Diego Andersson,Gold
1976,Montreal,CAN,URS,Soviet Union,Handball,Handball team event,Sven Costa,Gold
2012,London,GBR,GER,Germany,Athletics,Athletics event,Sven Kovac,Silver
2016,Rio,BRA,MEX,Mexico,Rowing,Rowing team event,Ivan Andersson,Gold
1976,Montreal,CAN,GDR,East Germany,Handball,Handball team event,Wei Nielsen,Bronze
1996,Atlanta,USA,USA,United States,Gymnastics,Gymnastics event,Sven Novak,Bronze
1976,Montreal,CAN,AUS,Australia,Relays,Relays team event,John Petrov,Silver
1980,Moscow,URS,URS,Soviet Union,Athletics,Athletics event,Sofia Park,Gold
2004,Athens,GRC,ITA,Italy,Diving,Diving event,Kenji Tanaka,Silver
